Year,Years in U.S.,Cases
2014,5-14 years,1529
2013,5-14 years,1641
2012,5-14 years,1681
2011,5-14 years,1851
2010,5-14 years,1691
2009,5-14 years,1788
2008,5-14 years,1832
2007,5-14 years,1811
2006,5-14 years,1898
2005,5-14 years,1851
2004,5-14 years,1765
2003,5-14 years,1873
2002,5-14 years,1744
2001,5-14 years,1851
2000,5-14 years,1804
1999,5-14 years,1806
1998,5-14 years,1929
1997,5-14 years,1732
1996,5-14 years,1528
1995,5-14 years,1463
1994,5-14 years,1359
1993,5-14 years,1285
